質問ID,質問,質問タイプ,Mermaid/CSVモデル,回答モデル,登場人物判定(s),登場人物判定(tokens),中心人物特定(s),中心人物特定(tokens),Mermaid生成(s),Mermaid生成(tokens),CSV変換(s),CSV変換(tokens),回答生成(s),回答生成(tokens),合計時間(s),合計トークン数,タイムスタンプ
Q1,ミナって誰だっけ？,character_identification,gpt-5.1,gpt-4.1,2.46,79052,2.89,99402,13.79,100026,3.84,1001,8.84,79266,31.82,358747,2025-11-17T18:15:13.222423
Q1,ミナって誰だっけ？,character_identification,gpt-5-mini,gpt-5-mini,2.30,79050,3.14,99402,28.74,100955,31.03,1814,12.55,79512,77.76,360733,2025-11-17T18:15:46.045372
Q1,ミナって誰だっけ？,character_identification,gpt-4.1,gpt-4.1,3.27,79057,3.91,99394,41.37,100028,5.29,1045,13.86,79413,67.71,358937,2025-11-17T18:17:04.815928
Q1,ミナって誰だっけ？,character_identification,gpt-4o,gpt-4o,2.55,79052,3.09,99404,13.08,99628,3.72,556,7.94,79072,30.38,357712,2025-11-17T18:18:13.532107
Q1,ミナって誰だっけ？,character_identification,gpt-4o-mini,gpt-4o-mini,2.39,79052,2.85,99402,7.55,99516,3.13,361,7.18,79053,23.10,357384,2025-11-17T18:18:44.914237
Q1,ミナって誰だっけ？,character_identification,gpt-5.1,gpt-5-mini,2.61,79056,4.40,99400,14.40,99771,2.46,606,16.63,79626,40.50,358459,2025-11-17T18:19:09.025706
Q1,ミナって誰だっけ？,character_identification,gpt-4.1,gpt-5-mini,2.73,79052,3.19,99402,21.91,100279,5.39,1408,15.33,79614,48.56,359755,2025-11-17T18:19:50.531235
Q2,タニアとカナデの関係性について教えて,relationship,gpt-5.1,gpt-4.1,2.72,79065,4.59,99470,13.18,99948,5.70,880,45.76,79955,71.95,359318,2025-11-17T18:20:40.101537
Q2,タニアとカナデの関係性について教えて,relationship,gpt-5-mini,gpt-5-mini,2.87,79075,5.11,99481,22.45,100763,23.92,2044,27.68,80420,82.02,361783,2025-11-17T18:21:53.057696
Q2,タニアとカナデの関係性について教えて,relationship,gpt-4.1,gpt-4.1,4.30,79071,4.80,99495,26.01,100522,7.62,1723,31.13,80016,73.87,360827,2025-11-17T18:23:16.088995
Q2,タニアとカナデの関係性について教えて,relationship,gpt-4o,gpt-4o,3.14,79072,4.55,99477,7.02,99632,11.82,555,8.80,79275,35.34,358011,2025-11-17T18:24:30.968091
Q2,タニアとカナデの関係性について教えて,relationship,gpt-4o-mini,gpt-4o-mini,2.59,79072,5.17,99479,6.71,99493,2.75,317,10.81,79258,28.03,357619,2025-11-17T18:25:07.322037
Q2,タニアとカナデの関係性について教えて,relationship,gpt-5.1,gpt-5-mini,2.79,79074,4.68,99464,11.92,99879,5.04,836,36.32,80595,60.76,359848,2025-11-17T18:25:36.355739
Q2,タニアとカナデの関係性について教えて,relationship,gpt-4.1,gpt-5-mini,2.83,79065,6.84,99490,17.69,100205,4.64,1272,29.06,80649,61.05,360681,2025-11-17T18:26:38.121068
Q3,レインはアリオスのことがなんで嫌いなの？,character_motivation,gpt-5.1,gpt-4.1,3.21,79068,5.85,99465,17.32,100098,12.81,1717,31.91,80029,71.10,360377,2025-11-17T18:27:40.183241
Q3,レインはアリオスのことがなんで嫌いなの？,character_motivation,gpt-5-mini,gpt-5-mini,2.57,79068,3.35,99419,38.44,100630,21.65,1992,27.99,80112,94.01,361221,2025-11-17T18:28:52.296015
